scenario,num_uavs,seed,episode,episode_coverage,episode_conflict_sim,episode_conflict_recomputed_120,conflict_events_120,pair_steps,episode_path,corrections,uav_steps,accepted,cva,fallback_nearest,raw_released,max_empty_streak,n_empty_streaks_ge2
urban,6,42,10,100.0,0.0,0.0,0,330,17354.40625,4,210,128,4,0,0,0,0
urban,6,42,11,100.0,0.0,0.0,0,315,16421.15234375,0,210,126,0,0,0,0,0
urban,6,43,0,100.0,0.0,0.0,0,345,18010.029296875,0,210,138,0,0,0,0,0
urban,6,43,1,100.0,0.0,0.0,0,435,22607.822265625,0,210,174,0,0,0,0,0
urban,6,43,2,100.0,0.0,0.0,0,435,22555.216796875,0,210,174,0,0,0,0,0
urban,6,43,3,100.0,0.0,0.0,0,330,17266.791015625,0,210,132,0,0,0,0,0
urban,6,43,4,100.0,0.0,0.0,0,360,18787.291015625,0,210,144,0,0,0,0,0
urban,6,43,5,100.0,0.0,0.0,0,390,20127.4140625,0,210,156,0,0,0,0,0
urban,6,43,6,100.0,0.0,0.0,0,255,13454.818359375,0,210,102,0,0,0,0,0
urban,6,43,7,100.0,0.0,0.0,0,210,11279.2919921875,0,210,84,0,0,0,0,0
urban,6,43,8,100.0,0.0,0.0,0,375,19735.744140625,0,210,150,0,0,0,0,0
urban,6,43,9,100.0,0.0,0.0,0,510,26858.138671875,0,210,204,0,0,0,0,0
urban,6,43,10,98.33333333333333,0.0,0.0,0,525,26969.609375,0,210,210,0,0,0,0,0
urban,6,43,11,100.0,0.0,0.0,0,255,13514.037109375,0,210,102,0,0,0,0,0
urban,6,44,0,100.0,0.0,0.0,0,300,15637.166015625,0,210,120,0,0,0,0,0
urban,6,44,1,98.33333333333333,0.0,0.0,0,525,27058.24609375,14,210,196,14,0,0,0,0
urban,6,44,2,100.0,0.0,0.0,0,345,18253.578125,18,210,120,18,0,0,0,0
urban,6,44,3,100.0,0.0,0.0,0,420,21702.58203125,0,210,168,0,0,0,0,0
urban,6,44,4,100.0,0.0,0.0,0,405,20839.07421875,6,210,156,6,0,0,0,0
urban,6,44,5,100.0,0.0,0.0,0,270,14322.5205078125,0,210,108,0,0,0,0,0
